3d834eff7e8a7b251a7a426a118c3fe872b3d44b,,Remainder,,52,0,0,0,,
third_party/blink/renderer/core/html/html_frame_owner_element.h,92,static int suspend_count_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/html/media/html_media_element.cc,384,static base::debug::CrashKeyString* content_type_crash_key =,Link,Local,No,Yes,Yes,,
third_party/blink/renderer/core/html/media/html_media_source.h,77,static URLRegistry* registry_;,Link,Member,Yes,No,No,Pointer to the instance created in DEFINE_STATIC_LOCAL https://cs.chromium.org/chromium/src/third_party/blink/renderer/modules/mediasource/media_source_registry.cc?l=40&rcl=ea1351fcbe0a9cbde11a4ee843e1e96e5857c3c1,
third_party/blink/renderer/core/html/parser/html_preload_scanner_fuzzer.cc,39,static BlinkFuzzerTestSupport test_support = BlinkFuzzerTestSupport();,Link,Local,No,No,Yes,Fuzzer for testing,
third_party/blink/renderer/core/html/parser/html_tokenizer_fuzzer.cc,18,static BlinkFuzzerTestSupport test_support = BlinkFuzzerTestSupport();,Link,Local,No,No,Yes,Fuzzer for testing,
third_party/blink/renderer/core/html/parser/html_tree_builder.cc,465,static PrefixedNameToQualifiedNameMap* case_map = nullptr;,Link,Local,No,Yes,No,Should be const,
third_party/blink/renderer/core/html/parser/html_tree_builder.cc,480,static PrefixedNameToQualifiedNameMap* case_map = nullptr;,Link,Local,No,Yes,No,Should be const,
third_party/blink/renderer/core/html/parser/html_tree_builder.cc,518,static PrefixedNameToQualifiedNameMap* map = nullptr;,Link,,No,Yes,No,Should be const,
third_party/blink/renderer/core/html/parser/text_resource_decoder_fuzzer.cc,14,static BlinkFuzzerTestSupport test_support = BlinkFuzzerTestSupport();,Link,,No,No,Yes,Fuzzer for testing,
third_party/blink/renderer/core/input/context_menu_allowed_scope.cc,9,static unsigned g_context_menu_allowed_count = 0;,Link,Global,No,No,No,Scoped state,
third_party/blink/renderer/core/input/keyboard_event_manager.cc,514,static OverrideCapsLockState g_override_caps_lock_state;,Link,Global,No,No,Yes,Only mutated in tests,
third_party/blink/renderer/core/inspector/identifiers_factory.cc,43,static base::AtomicSequenceNumber last_used_identifier;,Link,,No,No,Yes,Already thread-safe.,
third_party/blink/renderer/core/inspector/inspector_css_agent.cc,108,int g_frontend_operation_counter = 0;,Link,Global,No,No,No,Scoped state,
third_party/blink/renderer/core/inspector/inspector_layer_tree_agent.h,104,static unsigned last_snapshot_id_;,Link,Member,Yes,No,No,Counter to generate ids.,
third_party/blink/renderer/core/inspector/main_thread_debugger.h,120,static MainThreadDebugger* instance_;,Link,Member,Yes,No,No,Pointer to instance initialized in V8Initializer::InitializeMainThread,
third_party/blink/renderer/core/intersection_observer/intersection_observer.cc,143,static bool throttle_delay_enabled = true;,Link,,No,No,Yes,Only mutated in tests,
third_party/blink/renderer/core/layout/layout_block_flow_line.cc,2292,static int num_lines = 8;  // The # of lines we're willing to match against.,Link,,No,Yes,Yes,I made it constexpr.,
third_party/blink/renderer/core/layout/layout_block_flow.h,917,static bool can_propagate_float_into_sibling_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/layout/layout_block.cc,95,static TrackedDescendantsMap* g_positioned_descendants_map = nullptr;,Link,Global,Maybe,No,No,Cache,
third_party/blink/renderer/core/layout/layout_block.cc,96,static TrackedContainerMap* g_positioned_container_map = nullptr;,Link,Global,Maybe,No,No,Cache,
third_party/blink/renderer/core/layout/layout_block.cc,101,static TrackedDescendantsMap* g_percent_height_descendants_map = nullptr;,Link,Global,Maybe,No,No,Cache,
third_party/blink/renderer/core/layout/layout_box_model_object.cc,79,static ContinuationMap* g_continuation_map = nullptr;,Link,Global,Maybe,No,No,Cache,
third_party/blink/renderer/core/layout/layout_multi_column_flow_thread.h,365,static bool could_contain_spanners_;,Link,Member,Yes,No,No,,
third_party/blink/renderer/core/layout/layout_multi_column_flow_thread.h,367,static bool toggle_spanners_if_needed_;,Link,Member,Yes,No,No,,
third_party/blink/renderer/core/layout/layout_object.h,3184,static bool affects_parent_block_;,Link,Member,Yes,No,No,,
third_party/blink/renderer/core/layout/layout_text_control.cc,199,static HashSet<AtomicString>* font_families_with_invalid_char_width_map =,Link,Local,No,Yes,No,Should be const,
third_party/blink/renderer/core/layout/layout_text.cc,93,static SecureTextTimerMap* g_secure_text_timers = nullptr;,Link,,No,No,No,Need one per thread for safey,
third_party/blink/renderer/core/layout/layout_theme_default.cc,252,static Color focus_ting_color(229,Link,,No,Yes,Yes,I made it constexpr,
third_party/blink/renderer/core/layout/layout_theme_default.h,148,static TimeDelta caret_blink_interval_;,Link,Member,Yes,No,No,For testing,
third_party/blink/renderer/core/layout/layout_theme_default.h,150,static unsigned active_selection_background_color_;,Link,Member,Yes,No,No,,
third_party/blink/renderer/core/layout/layout_theme_default.h,151,static unsigned active_selection_foreground_color_;,Link,Member,Yes,No,No,,
third_party/blink/renderer/core/layout/layout_theme_default.h,152,static unsigned inactive_selection_background_color_;,Link,Member,Yes,No,No,,
third_party/blink/renderer/core/layout/layout_theme_default.h,153,static unsigned inactive_selection_foreground_color_;,Link,Member,Yes,No,No,,
third_party/blink/renderer/core/layout/line/inline_text_box.cc,58,static InlineTextBoxOverflowMap* g_text_boxes_with_overflow;,Link,,No,No,No,Needs to be ThreadSpecific if we have multiple main threads.,
third_party/blink/renderer/core/layout/line/line_box_list.cc,53,static LineBoxList empty;,Link,,No,Yes,Yes,I made it const.,
third_party/blink/renderer/core/layout/line/line_box_list.cc,59,static InlineTextBoxList empty;,Link,,No,Yes,Yes,I made it const.,
third_party/blink/renderer/core/layout/line/root_inline_box.cc,50,static EllipsisBoxMap* g_ellipsis_box_map = nullptr;,Link,Global,No,No,No,Needs to be ThreadSpecific if we have multiple main threads.,
third_party/blink/renderer/core/layout/shapes/shape.cc,313,static size_t max_image_size_bytes = 0;,Link,,No,Yes,Yes,I made it const.,
third_party/blink/renderer/core/layout/svg/svg_layout_support.h,177,static AffineTransform::Transform current_content_transformation_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/layout/text_autosizer.cc,1269,static float narrow_width_difference = 200;,Link,,No,Yes,Yes,I made it const.,
third_party/blink/renderer/core/loader/form_submission.cc,60,static int64_t next_identifier =,Link,,No,No,No,Counter to generate ids. I think it needs to be global.,
third_party/blink/renderer/core/loader/history_item.cc,45,static int64_t next = static_cast<int64_t>(CurrentTime() * 1000000.0);,Link,,No,No,No,Counter to generate ids. I think it needs to be global.,
third_party/blink/renderer/core/loader/image_loader.h,285,static uint64_t s_next_request_id_;,Link,Member,No,No,No,Counter to generate ids. I think it needs to be global (used cross-thread).,
third_party/blink/renderer/core/loader/resource/script_resource.cc,418,static bool script_streaming_enabled =,Link,,No,Yes,Yes,Caches a base::Feature. I made it const.,
third_party/blink/renderer/core/mojo/tests/js_to_cpp_test.cc,27,uint32_t g_waste_accumulator = 0;,Link,Global,No,No,No,Scoped state. Test-only.,
third_party/blink/renderer/core/page/plugin_script_forbidden_scope.cc,12,static unsigned g_plugin_script_forbidden_count = 0;,Link,,No,No,No,Scoped state,
third_party/blink/renderer/core/page/scoped_page_pauser.cc,36,unsigned g_suspension_count = 0;,Link,Global,No,No,No,Scoped state,
third_party/blink/renderer/core/paint/compositing/compositing_layer_assigner.cc,42,static uint64_t g_squashing_sparsity_tolerance = 6;,Link,Global,No,Yes,Yes,I made it const.,
